report_year,company_code,company_name,issue_name,avg_verifiability_score,record_count
2023,601988,中国银行,消费者权益保护,4.0,1
2023,601988,中国银行,绿色信贷/绿色金融,4.0,1
2023,601997,贵阳银行,公司治理/风险管理,3.0,3
2023,601997,贵阳银行,员工权益,3.0,1
2023,601997,贵阳银行,普惠金融,3.0,1
2023,601997,贵阳银行,消费者权益保护,3.0,1
2023,601997,贵阳银行,绿色信贷/绿色金融,3.0,1
2023,601998,中信银行,公司治理/风险管理,5.0,3
2023,601998,中信银行,员工权益,5.0,1
2023,601998,中信银行,普惠金融,5.0,1
2023,601998,中信银行,消费者权益保护,5.0,1
2023,601998,中信银行,绿色信贷/绿色金融,5.0,1
2023,603323,苏农银行,公司治理/风险管理,5.0,3
2023,603323,苏农银行,员工权益,5.0,1
2023,603323,苏农银行,普惠金融,5.0,1
2023,603323,苏农银行,消费者权益保护,5.0,1
2023,603323,苏农银行,绿色信贷/绿色金融,5.0,1
2024,000001,平安银行,公司治理/风险管理,2.0,1
2024,001227,宁波银行,公司治理/风险管理,5.0,1
2024,002142,宁波银行(宁银消金),公司治理/风险管理,4.0,1
2024,002807,江阴银行,公司治理/风险管理,4.0,1
2024,002839,张家港银行,公司治理/风险管理,2.0,1
2024,002936,郑州银行,公司治理/风险管理,4.0,1
2024,002948,青岛银行,公司治理/风险管理,4.0,3
2024,002948,青岛银行,员工权益,4.0,1
2024,002948,青岛银行,普惠金融,4.0,1
2024,002948,青岛银行,消费者权益保护,4.0,1
2024,002948,青岛银行,绿色信贷/绿色金融,4.0,1
2024,002958,重庆银行,公司治理/风险管理,4.0,3
2024,002958,重庆银行,员工权益,4.0,1
2024,002958,重庆银行,普惠金融,4.0,1
2024,002958,重庆银行,消费者权益保护,4.0,1
2024,002958,重庆银行,绿色信贷/绿色金融,4.0,1
2024,002966,南京银行,公司治理/风险管理,4.0,3
2024,002966,南京银行,员工权益,4.0,1
2024,002966,南京银行,普惠金融,4.0,1
2024,002966,南京银行,消费者权益保护,4.0,1
2024,002966,南京银行,绿色信贷/绿色金融,4.0,1
2024,600000,浦发银行,公司治理/风险管理,4.0,3
2024,600000,浦发银行,员工权益,4.0,1
2024,600000,浦发银行,普惠金融,4.0,1
2024,600000,浦发银行,消费者权益保护,4.0,1
2024,600000,浦发银行,绿色信贷/绿色金融,4.0,1
2024,600015,华夏银行,公司治理/风险管理,1.0,2
2024,600015,华夏银行,员工权益,1.0,1
2024,600015,华夏银行,普惠金融,1.0,1
2024,600015,华夏银行,绿色信贷/绿色金融,1.0,1
2024,600016,民生银行,公司治理/风险管理,3.5,6
2024,600016,民生银行,员工权益,3.5,2
2024,600016,民生银行,普惠金融,3.5,2
2024,600016,民生银行,消费者权益保护,3.5,2
2024,600016,民生银行,绿色信贷/绿色金融,3.5,2
2024,600036,招商银行,公司治理/风险管理,5.0,3
2024,600036,招商银行,员工权益,5.0,1
2024,600036,招商银行,普惠金融,5.0,1
2024,600036,招商银行,消费者权益保护,5.0,1
2024,600036,招商银行,绿色信贷/绿色金融,5.0,1
2024,600908,无锡银行,公司治理/风险管理,3.0,3
2024,600908,无锡银行,员工权益,3.0,1
2024,600908,无锡银行,普惠金融,3.0,1
2024,600908,无锡银行,消费者权益保护,3.0,1
2024,600908,无锡银行,绿色信贷/绿色金融,3.0,1
2024,600919,江苏银行,公司治理/风险管理,4.0,3
2024,600919,江苏银行,员工权益,4.0,1
2024,600919,江苏银行,普惠金融,4.0,1
2024,600919,江苏银行,消费者权益保护,4.0,1
2024,600919,江苏银行,绿色信贷/绿色金融,4.0,1
2024,600926,杭州银行,公司治理/风险管理,3.0,3
2024,600926,杭州银行,员工权益,3.0,1
2024,600926,杭州银行,普惠金融,3.0,1
2024,600926,杭州银行,消费者权益保护,3.0,1
2024,600926,杭州银行,绿色信贷/绿色金融,3.0,1
2024,600928,西安银行,公司治理/风险管理,4.0,3
2024,600928,西安银行,员工权益,4.0,1
2024,600928,西安银行,普惠金融,4.0,1
2024,600928,西安银行,消费者权益保护,4.0,1
2024,600928,西安银行,绿色信贷/绿色金融,4.0,1
2024,601009,南京银行,公司治理/风险管理,4.0,3
2024,601009,南京银行,员工权益,4.0,1
2024,601009,南京银行,普惠金融,4.0,1
2024,601009,南京银行,消费者权益保护,4.0,1
2024,601009,南京银行,绿色信贷/绿色金融,4.0,1
2024,601077,重庆农村商业银行,公司治理/风险管理,3.0,3
2024,601077,重庆农村商业银行,员工权益,3.0,1
2024,601077,重庆农村商业银行,普惠金融,3.0,1
2024,601077,重庆农村商业银行,消费者权益保护,3.0,1
2024,601077,重庆农村商业银行,绿色信贷/绿色金融,3.0,1
2024,601128,常熟银行,绿色信贷/绿色金融,0.0,2
2024,601166,兴业银行,公司治理/风险管理,5.0,3
2024,601166,兴业银行,员工权益,5.0,1
2024,601166,兴业银行,普惠金融,5.0,1
2024,601166,兴业银行,消费者权益保护,5.0,1
2024,601166,兴业银行,绿色信贷/绿色金融,5.0,1
2024,601169,北京银行,公司治理/风险管理,3.0,3
2024,601169,北京银行,员工权益,3.0,1
2024,601169,北京银行,普惠金融,3.0,1
2024,601169,北京银行,消费者权益保护,3.0,1
2024,601169,北京银行,绿色信贷/绿色金融,3.0,1
2024,601187,厦门银行,公司治理/风险管理,4.0,3
2024,601187,厦门银行,员工权益,4.0,1
2024,601187,厦门银行,普惠金融,4.0,1
2024,601187,厦门银行,消费者权益保护,4.0,1
2024,601187,厦门银行,绿色信贷/绿色金融,4.0,1
2024,601229,上海银行,公司治理/风险管理,4.0,3
2024,601229,上海银行,员工权益,4.0,1
2024,601229,上海银行,普惠金融,4.0,1
2024,601229,上海银行,消费者权益保护,4.0,1
2024,601229,上海银行,绿色信贷/绿色金融,4.0,1
2024,601288,农业银行,公司治理/风险管理,4.0,3
2024,601288,农业银行,员工权益,4.0,1
2024,601288,农业银行,普惠金融,4.0,1
2024,601288,农业银行,消费者权益保护,4.0,1
2024,601288,农业银行,绿色信贷/绿色金融,4.0,1
2024,601328,交通银行,公司治理/风险管理,4.0,3
2024,601328,交通银行,员工权益,4.0,1
2024,601328,交通银行,普惠金融,4.0,1
2024,601328,交通银行,消费者权益保护,4.0,1
2024,601328,交通银行,绿色信贷/绿色金融,4.0,1
2024,601398,工商银行,公司治理/风险管理,3.0,3
2024,601398,工商银行,员工权益,3.0,1
2024,601398,工商银行,普惠金融,3.0,1
2024,601398,工商银行,消费者权益保护,3.0,1
2024,601398,工商银行,绿色信贷/绿色金融,3.0,1
2024,601528,瑞丰银行,公司治理/风险管理,4.0,3
2024,601528,瑞丰银行,员工权益,4.0,1
2024,601528,瑞丰银行,普惠金融,4.0,1
2024,601528,瑞丰银行,消费者权益保护,4.0,1
2024,601528,瑞丰银行,绿色信贷/绿色金融,4.0,1
2024,601577,长沙银行,公司治理/风险管理,3.0,3
2024,601577,长沙银行,员工权益,3.0,1
2024,601577,长沙银行,普惠金融,3.0,1
2024,601577,长沙银行,消费者权益保护,3.0,1
2024,601577,长沙银行,绿色信贷/绿色金融,3.0,1
2024,601658,邮储银行,公司治理/风险管理,4.0,3
2024,601658,邮储银行,员工权益,4.0,1
2024,601658,邮储银行,普惠金融,4.0,1
2024,601658,邮储银行,消费者权益保护,4.0,1
2024,601658,邮储银行,绿色信贷/绿色金融,4.0,1
2024,601665,齐鲁银行,公司治理/风险管理,5.0,3
2024,601665,齐鲁银行,员工权益,5.0,1
2024,601665,齐鲁银行,普惠金融,5.0,1
2024,601665,齐鲁银行,消费者权益保护,5.0,1
2024,601665,齐鲁银行,绿色信贷/绿色金融,5.0,1
2024,601818,光大银行,公司治理/风险管理,2.0,3
2024,601818,光大银行,员工权益,2.0,1
2024,601818,光大银行,普惠金融,2.0,1
2024,601818,光大银行,消费者权益保护,2.0,1
2024,601818,光大银行,绿色信贷/绿色金融,2.0,1
2024,601825,农业银行,公司治理/风险管理,3.0,3
2024,601825,农业银行,员工权益,3.0,1
2024,601825,农业银行,普惠金融,3.0,1
2024,601825,农业银行,消费者权益保护,3.0,1
2024,601825,农业银行,绿色信贷/绿色金融,3.0,1
2024,601838,成都银行,公司治理/风险管理,2.0,3
2024,601838,成都银行,员工权益,2.0,1
2024,601838,成都银行,普惠金融,2.0,1
2024,601838,成都银行,消费者权益保护,2.0,1
2024,601838,成都银行,绿色信贷/绿色金融,2.0,1
2024,601860,长沙银行,公司治理/风险管理,5.0,3
2024,601860,长沙银行,员工权益,5.0,1
2024,601860,长沙银行,普惠金融,5.0,1
2024,601860,长沙银行,消费者权益保护,5.0,1
2024,601860,长沙银行,绿色信贷/绿色金融,5.0,1
2024,601916,浙商银行,公司治理/风险管理,4.0,3
2024,601916,浙商银行,员工权益,4.0,1
2024,601916,浙商银行,普惠金融,4.0,1
2024,601916,浙商银行,消费者权益保护,4.0,1
2024,601916,浙商银行,绿色信贷/绿色金融,4.0,1
2024,601939,建设银行,公司治理/风险管理,3.0,3
2024,601939,建设银行,员工权益,3.0,1
2024,601939,建设银行,普惠金融,3.0,1
2024,601939,建设银行,消费者权益保护,3.0,1
2024,601939,建设银行,绿色信贷/绿色金融,3.0,1
2024,601963,重庆银行,公司治理/风险管理,5.0,3
2024,601963,重庆银行,员工权益,5.0,1
2024,601963,重庆银行,普惠金融,5.0,1
2024,601963,重庆银行,消费者权益保护,5.0,1
2024,601963,重庆银行,绿色信贷/绿色金融,5.0,1
2024,601988,中国银行,公司治理/风险管理,4.0,3
2024,601988,中国银行,员工权益,4.0,1
2024,601988,中国银行,普惠金融,4.0,1
2024,601988,中国银行,消费者权益保护,4.0,1
2024,601988,中国银行,绿色信贷/绿色金融,4.0,1
2024,601997,贵阳银行,公司治理/风险管理,1.0,3
2024,601997,贵阳银行,员工权益,1.0,1
2024,601997,贵阳银行,普惠金融,1.0,1
2024,601997,贵阳银行,消费者权益保护,1.0,1
2024,601997,贵阳银行,绿色信贷/绿色金融,1.0,1
2024,601998,中信银行,公司治理/风险管理,3.0,3
2024,601998,中信银行,员工权益,3.0,1
2024,601998,中信银行,普惠金融,3.0,1
2024,601998,中信银行,消费者权益保护,3.0,1
2024,601998,中信银行,绿色信贷/绿色金融,3.0,1
2024,603323,苏农银行,公司治理/风险管理,3.0,3
2024,603323,苏农银行,员工权益,3.0,1
2024,603323,苏农银行,普惠金融,3.0,1
2024,603323,苏农银行,消费者权益保护,3.0,1
2024,603323,苏农银行,绿色信贷/绿色金融,3.0,1
2025,000001,平安银行,公司治理/风险管理,5.0,1
2025,001227,宁波银行,公司治理/风险管理,4.0,1
2025,002142,宁波银行(宁银消金),公司治理/风险管理,4.0,1
2025,002807,江阴银行,公司治理/风险管理,3.0,1
2025,002839,张家港银行,公司治理/风险管理,3.0,1
2025,002936,郑州银行,公司治理/风险管理,5.0,1
2025,002948,青岛银行,公司治理/风险管理,4.0,3
2025,002948,青岛银行,员工权益,4.0,1
2025,002948,青岛银行,普惠金融,4.0,1
2025,002948,青岛银行,消费者权益保护,4.0,1
2025,002948,青岛银行,绿色信贷/绿色金融,4.0,1
2025,002958,重庆银行,公司治理/风险管理,4.0,3
2025,002958,重庆银行,员工权益,4.0,1
2025,002958,重庆银行,普惠金融,4.0,1
2025,002958,重庆银行,消费者权益保护,4.0,1
2025,002958,重庆银行,绿色信贷/绿色金融,4.0,1
2025,002966,南京银行,公司治理/风险管理,4.0,3
2025,002966,南京银行,员工权益,4.0,1
2025,002966,南京银行,普惠金融,4.0,1
2025,002966,南京银行,消费者权益保护,4.0,1
2025,002966,南京银行,绿色信贷/绿色金融,4.0,1
2025,600000,浦发银行,公司治理/风险管理,5.0,3
2025,600000,浦发银行,员工权益,5.0,1
2025,600000,浦发银行,普惠金融,5.0,1
2025,600000,浦发银行,消费者权益保护,5.0,1
2025,600000,浦发银行,绿色信贷/绿色金融,5.0,1
2025,600015,华夏银行,公司治理/风险管理,5.0,3
2025,600015,华夏银行,员工权益,5.0,1
2025,600015,华夏银行,普惠金融,5.0,1
2025,600015,华夏银行,消费者权益保护,5.0,1
2025,600015,华夏银行,绿色信贷/绿色金融,5.0,1
2025,600016,民生银行,公司治理/风险管理,4.0,6
2025,600016,民生银行,员工权益,4.0,2
2025,600016,民生银行,普惠金融,4.0,2
2025,600016,民生银行,消费者权益保护,4.0,2
2025,600016,民生银行,绿色信贷/绿色金融,4.0,2
2025,600036,招商银行,公司治理/风险管理,4.0,3
2025,600036,招商银行,员工权益,4.0,1
2025,600036,招商银行,普惠金融,4.0,1
2025,600036,招商银行,消费者权益保护,4.0,1
2025,600036,招商银行,绿色信贷/绿色金融,4.0,1
2025,600908,无锡银行,公司治理/风险管理,3.0,3
2025,600908,无锡银行,员工权益,3.0,1
2025,600908,无锡银行,普惠金融,3.0,1
2025,600908,无锡银行,消费者权益保护,3.0,1
2025,600908,无锡银行,绿色信贷/绿色金融,3.0,1
2025,600919,江苏银行,公司治理/风险管理,4.0,3
2025,600919,江苏银行,员工权益,4.0,1
2025,600919,江苏银行,普惠金融,4.0,1
2025,600919,江苏银行,消费者权益保护,4.0,1
2025,600919,江苏银行,绿色信贷/绿色金融,4.0,1
2025,600926,杭州银行,公司治理/风险管理,3.0,3
2025,600926,杭州银行,员工权益,3.0,1
2025,600926,杭州银行,普惠金融,3.0,1
2025,600926,杭州银行,消费者权益保护,3.0,1
2025,600926,杭州银行,绿色信贷/绿色金融,3.0,1
2025,600928,西安银行,公司治理/风险管理,3.0,3
2025,600928,西安银行,员工权益,3.0,1
2025,600928,西安银行,普惠金融,3.0,1
2025,600928,西安银行,消费者权益保护,3.0,1
2025,600928,西安银行,绿色信贷/绿色金融,3.0,1
2025,601009,南京银行,公司治理/风险管理,5.0,3
2025,601009,南京银行,员工权益,5.0,1
2025,601009,南京银行,普惠金融,5.0,1
2025,601009,南京银行,消费者权益保护,5.0,1
2025,601009,南京银行,绿色信贷/绿色金融,5.0,1
2025,601077,重庆农村商业银行,公司治理/风险管理,5.0,3
2025,601077,重庆农村商业银行,员工权益,5.0,1
2025,601077,重庆农村商业银行,普惠金融,5.0,1
2025,601077,重庆农村商业银行,消费者权益保护,5.0,1
2025,601077,重庆农村商业银行,绿色信贷/绿色金融,5.0,1
2025,601128,常熟银行,公司治理/风险管理,3.0,3
2025,601128,常熟银行,员工权益,3.0,1
2025,601128,常熟银行,普惠金融,3.0,1
2025,601128,常熟银行,消费者权益保护,3.0,1
2025,601128,常熟银行,绿色信贷/绿色金融,3.0,1
2025,601166,兴业银行,公司治理/风险管理,5.0,3
2025,601166,兴业银行,员工权益,5.0,1
2025,601166,兴业银行,普惠金融,5.0,1
2025,601166,兴业银行,消费者权益保护,5.0,1
2025,601166,兴业银行,绿色信贷/绿色金融,5.0,1
2025,601169,北京银行,公司治理/风险管理,4.0,3
2025,601169,北京银行,员工权益,4.0,1
2025,601169,北京银行,普惠金融,4.0,1
2025,601169,北京银行,消费者权益保护,4.0,1
2025,601169,北京银行,绿色信贷/绿色金融,4.0,1
2025,601187,厦门银行,公司治理/风险管理,4.0,3
2025,601187,厦门银行,员工权益,4.0,1
2025,601187,厦门银行,普惠金融,4.0,1
2025,601187,厦门银行,消费者权益保护,4.0,1
2025,601187,厦门银行,绿色信贷/绿色金融,4.0,1
2025,601229,上海银行,公司治理/风险管理,4.0,3
2025,601229,上海银行,员工权益,4.0,1
2025,601229,上海银行,普惠金融,4.0,1
2025,601229,上海银行,消费者权益保护,4.0,1
2025,601229,上海银行,绿色信贷/绿色金融,4.0,1
2025,601288,农业银行,公司治理/风险管理,4.0,3
2025,601288,农业银行,员工权益,4.0,1
2025,601288,农业银行,普惠金融,4.0,1
2025,601288,农业银行,消费者权益保护,4.0,1
2025,601288,农业银行,绿色信贷/绿色金融,4.0,1
2025,601328,交通银行,公司治理/风险管理,3.0,3
2025,601328,交通银行,员工权益,3.0,1
2025,601328,交通银行,普惠金融,3.0,1
2025,601328,交通银行,消费者权益保护,3.0,1
2025,601328,交通银行,绿色信贷/绿色金融,3.0,1
2025,601398,工商银行,公司治理/风险管理,4.0,3
2025,601398,工商银行,员工权益,4.0,1
2025,601398,工商银行,普惠金融,4.0,1
2025,601398,工商银行,消费者权益保护,4.0,1
2025,601398,工商银行,绿色信贷/绿色金融,4.0,1
2025,601528,瑞丰银行,公司治理/风险管理,4.0,3
2025,601528,瑞丰银行,员工权益,4.0,1
2025,601528,瑞丰银行,普惠金融,4.0,1
2025,601528,瑞丰银行,消费者权益保护,4.0,1
2025,601528,瑞丰银行,绿色信贷/绿色金融,4.0,1
2025,601577,长沙银行,公司治理/风险管理,3.0,3
2025,601577,长沙银行,员工权益,3.0,1
2025,601577,长沙银行,普惠金融,3.0,1
2025,601577,长沙银行,消费者权益保护,3.0,1
2025,601577,长沙银行,绿色信贷/绿色金融,3.0,1
2025,601658,邮储银行,公司治理/风险管理,3.0,3
2025,601658,邮储银行,员工权益,3.0,1
2025,601658,邮储银行,普惠金融,3.0,1
2025,601658,邮储银行,消费者权益保护,3.0,1
2025,601658,邮储银行,绿色信贷/绿色金融,3.0,1
2025,601665,齐鲁银行,公司治理/风险管理,4.0,3
2025,601665,齐鲁银行,员工权益,4.0,1
2025,601665,齐鲁银行,普惠金融,4.0,1
2025,601665,齐鲁银行,消费者权益保护,4.0,1
2025,601665,齐鲁银行,绿色信贷/绿色金融,4.0,1
2025,601818,光大银行,公司治理/风险管理,0.0,3
2025,601818,光大银行,员工权益,0.0,1
2025,601818,光大银行,普惠金融,0.0,1
2025,601818,光大银行,消费者权益保护,0.0,1
2025,601818,光大银行,绿色信贷/绿色金融,0.0,1
2025,601825,农业银行,公司治理/风险管理,4.0,3
2025,601825,农业银行,员工权益,4.0,1
2025,601825,农业银行,普惠金融,4.0,1
2025,601825,农业银行,消费者权益保护,4.0,1
2025,601825,农业银行,绿色信贷/绿色金融,4.0,1
2025,601838,成都银行,公司治理/风险管理,3.0,3
2025,601838,成都银行,员工权益,3.0,1
2025,601838,成都银行,普惠金融,3.0,1
2025,601838,成都银行,消费者权益保护,3.0,1
2025,601838,成都银行,绿色信贷/绿色金融,3.0,1
2025,601860,长沙银行,公司治理/风险管理,4.0,3
2025,601860,长沙银行,员工权益,4.0,1
2025,601860,长沙银行,普惠金融,4.0,1
2025,601860,长沙银行,消费者权益保护,4.0,1
2025,601860,长沙银行,绿色信贷/绿色金融,4.0,1
2025,601916,浙商银行,公司治理/风险管理,3.0,3
2025,601916,浙商银行,员工权益,3.0,1
2025,601916,浙商银行,普惠金融,3.0,1
2025,601916,浙商银行,消费者权益保护,3.0,1
2025,601916,浙商银行,绿色信贷/绿色金融,3.0,1
2025,601939,建设银行,公司治理/风险管理,5.0,3
2025,601939,建设银行,员工权益,5.0,1
2025,601939,建设银行,普惠金融,5.0,1
2025,601939,建设银行,消费者权益保护,5.0,1
2025,601939,建设银行,绿色信贷/绿色金融,5.0,1
2025,601963,重庆银行,公司治理/风险管理,4.0,2
2025,601963,重庆银行,普惠金融,4.0,1
2025,601963,重庆银行,消费者权益保护,4.0,1
2025,601963,重庆银行,绿色信贷/绿色金融,4.0,1
2025,601988,中国银行,公司治理/风险管理,5.0,3
2025,601988,中国银行,员工权益,5.0,1
2025,601988,中国银行,普惠金融,5.0,1
2025,601988,中国银行,消费者权益保护,5.0,1
2025,601988,中国银行,绿色信贷/绿色金融,5.0,1
2025,601997,贵阳银行,公司治理/风险管理,3.0,3
2025,601997,贵阳银行,员工权益,3.0,1
2025,601997,贵阳银行,普惠金融,3.0,1
2025,601997,贵阳银行,消费者权益保护,3.0,1
2025,601997,贵阳银行,绿色信贷/绿色金融,3.0,1
2025,601998,中信银行,公司治理/风险管理,3.0,3
2025,601998,中信银行,员工权益,3.0,1
2025,601998,中信银行,普惠金融,3.0,1
2025,601998,中信银行,消费者权益保护,3.0,1
2025,601998,中信银行,绿色信贷/绿色金融,3.0,1
2025,603323,苏农银行,公司治理/风险管理,3.0,3
2025,603323,苏农银行,员工权益,3.0,1
2025,603323,苏农银行,普惠金融,3.0,1
2025,603323,苏农银行,消费者权益保护,3.0,1
2025,603323,苏农银行,绿色信贷/绿色金融,3.0,1
