company_code,company_name,issue_name,report_year,avg_verifiability_score,record_count
600928,西安银行,绿色信贷/绿色金融,2022,4.0,1
600928,西安银行,绿色信贷/绿色金融,2023,3.0,1
600928,西安银行,绿色信贷/绿色金融,2024,4.0,1
600928,西安银行,绿色信贷/绿色金融,2025,3.0,1
601009,南京银行,公司治理/风险管理,2021,3.0,3
601009,南京银行,公司治理/风险管理,2022,4.0,3
601009,南京银行,公司治理/风险管理,2023,3.0,3
601009,南京银行,公司治理/风险管理,2024,4.0,3
601009,南京银行,公司治理/风险管理,2025,5.0,3
601009,南京银行,员工权益,2021,3.0,1
601009,南京银行,员工权益,2022,4.0,1
601009,南京银行,员工权益,2023,3.0,1
601009,南京银行,员工权益,2024,4.0,1
601009,南京银行,员工权益,2025,5.0,1
601009,南京银行,普惠金融,2021,3.0,1
601009,南京银行,普惠金融,2022,4.0,1
601009,南京银行,普惠金融,2023,3.0,1
601009,南京银行,普惠金融,2024,4.0,1
601009,南京银行,普惠金融,2025,5.0,1
601009,南京银行,消费者权益保护,2021,3.0,1
601009,南京银行,消费者权益保护,2022,4.0,1
601009,南京银行,消费者权益保护,2023,3.0,1
601009,南京银行,消费者权益保护,2024,4.0,1
601009,南京银行,消费者权益保护,2025,5.0,1
601009,南京银行,绿色信贷/绿色金融,2021,3.0,1
601009,南京银行,绿色信贷/绿色金融,2022,4.0,1
601009,南京银行,绿色信贷/绿色金融,2023,3.0,1
601009,南京银行,绿色信贷/绿色金融,2024,4.0,1
601009,南京银行,绿色信贷/绿色金融,2025,5.0,1
601077,重庆农村商业银行,公司治理/风险管理,2021,4.0,3
601077,重庆农村商业银行,公司治理/风险管理,2022,3.0,3
601077,重庆农村商业银行,公司治理/风险管理,2023,4.0,3
601077,重庆农村商业银行,公司治理/风险管理,2024,3.0,3
601077,重庆农村商业银行,公司治理/风险管理,2025,5.0,3
601077,重庆农村商业银行,员工权益,2021,4.0,1
601077,重庆农村商业银行,员工权益,2022,3.0,1
601077,重庆农村商业银行,员工权益,2023,4.0,1
601077,重庆农村商业银行,员工权益,2024,3.0,1
601077,重庆农村商业银行,员工权益,2025,5.0,1
601077,重庆农村商业银行,普惠金融,2021,4.0,1
601077,重庆农村商业银行,普惠金融,2022,3.0,1
601077,重庆农村商业银行,普惠金融,2023,4.0,1
601077,重庆农村商业银行,普惠金融,2024,3.0,1
601077,重庆农村商业银行,普惠金融,2025,5.0,1
601077,重庆农村商业银行,消费者权益保护,2021,4.0,1
601077,重庆农村商业银行,消费者权益保护,2022,3.0,1
601077,重庆农村商业银行,消费者权益保护,2023,4.0,1
601077,重庆农村商业银行,消费者权益保护,2024,3.0,1
601077,重庆农村商业银行,消费者权益保护,2025,5.0,1
601077,重庆农村商业银行,绿色信贷/绿色金融,2021,4.0,1
601077,重庆农村商业银行,绿色信贷/绿色金融,2022,3.0,1
601077,重庆农村商业银行,绿色信贷/绿色金融,2023,4.0,1
601077,重庆农村商业银行,绿色信贷/绿色金融,2024,3.0,1
601077,重庆农村商业银行,绿色信贷/绿色金融,2025,5.0,1
601128,常熟银行,公司治理/风险管理,2022,4.0,3
601128,常熟银行,公司治理/风险管理,2025,3.0,3
601128,常熟银行,员工权益,2022,4.0,1
601128,常熟银行,员工权益,2025,3.0,1
601128,常熟银行,普惠金融,2022,4.0,1
601128,常熟银行,普惠金融,2025,3.0,1
601128,常熟银行,消费者权益保护,2022,4.0,1
601128,常熟银行,消费者权益保护,2025,3.0,1
